Tempo_s,ECG_Bruto,ECG_Filtrado
0.0,0.12,0.06240790912501842
0.002,0.12,0.06269507790050646
0.004,0.12,0.0626097072955788
0.006,0.12,0.061840024587293034
0.008,0.12,0.06020007301877817
0.01,0.12,0.05766726023378864
0.012,0.112,0.05438761658344009
0.014,0.103,0.05064424454539051
0.016,0.097,0.04679479614442906
0.018,0.095,0.04319447047686239
0.02,0.095,0.04012577625843077
0.022,0.095,0.03775222231010467
0.024,0.092,0.0361032125775965
0.026,0.089,0.03508776425862703
0.028,0.09,0.0345291051660901
0.03,0.09,0.03421037064579135
0.032,0.09,0.03392131637212524
0.034,0.087,0.03349654159026203
0.036,0.084,0.032838262990449806
0.038,0.085,0.031921416670672144
0.04,0.085,0.030783854229633208
0.042,0.081,0.029507395421403865
0.044,0.08,0.028196125795490933
0.046,0.08,0.02695742759728096
0.048,0.08,0.025889055092882304
0.05,0.08,0.025072186862824163
0.052,0.076,0.024567306793843054
0.054,0.075,0.024409233152422948
0.056,0.075,0.024600154960075477
0.058,0.075,0.025103147968963062
0.06,0.075,0.02584072165787064
0.062,0.079,0.026702330287081272
0.064,0.08,0.027561914191197998
0.066,0.08,0.028302781407954312
0.068,0.08,0.028844242018898132
0.07,0.08,0.02916355716082108
0.072,0.08,0.029307726774446416
0.074,0.08,0.029391392233824518
0.076,0.08,0.029579203530147376
0.078,0.08,0.030053704133009687
0.08,0.08,0.03097338161799307
0.082,0.08,0.03242953521298229
0.084,0.079,0.03441364785492369
0.086,0.083,0.03680699056049525
0.088,0.092,0.03939935445954293
0.09,0.095,0.041934225084403774
0.092,0.095,0.04416722463766925
0.094,0.095,0.04591925879580565
0.096,0.095,0.04710876720246226
0.098,0.095,0.04775640346711521
0.1,0.095,0.04796502305536678
0.102,0.095,0.04788419388477024
0.104,0.095,0.04767063236164099
0.106,0.095,0.047454767998958175
0.108,0.095,0.04732026377735371
0.11,0.095,0.04729898115032444
0.112,0.095,0.0473796859209
0.114,0.095,0.047525649849127286
0.116,0.095,0.04769479818549833
0.118,0.095,0.04785635401618357
0.12,0.095,0.047999764360219195
0.122,0.095,0.04813442788203254
0.124,0.095,0.04828156491867983
0.126,0.095,0.04846170975976071
0.128,0.095,0.04868225377632237
0.13,0.095,0.04892909924246613
0.132,0.095,0.04916504975005781
0.134,0.095,0.04933557210238785
0.136,0.095,0.049380588667826415
0.138,0.095,0.049249450991194516
0.14,0.095,0.048915435093219294
0.142,0.095,0.048386010595592305
0.144,0.096,0.04770573011722454
0.146,0.093,0.04694996778623398
0.148,0.09,0.04621010963538596
0.15,0.09,0.04557380358976683
0.152,0.09,0.04510602610323907
0.154,0.09,0.04483637048802575
0.156,0.09,0.04475516453137873
0.158,0.09,0.04481770428409052
0.16,0.09,0.044953955526532835
0.162,0.09,0.0450809627275503
0.164,0.09,0.04511613039258044
0.166,0.09,0.04499042911689721
0.168,0.09,0.04466071042247569
0.17,0.09,0.04411960314108997
0.172,0.09,0.043400491467746945
0.174,0.087,0.04257488120443079
0.176,0.084,0.04174092793157235
0.178,0.085,0.04100479255577478
0.18,0.085,0.0404591397196713
0.182,0.085,0.040163770447438366
0.184,0.085,0.040132072778980135
0.186,0.085,0.040325175950016966
0.188,0.085,0.04065454202060898
0.19,0.085,0.040993110172238154
0.192,0.085,0.04119435404695904
0.194,0.085,0.04111732566403042
0.196,0.085,0.04065402634683977
0.198,0.085,0.03975373609386129
0.2,0.085,0.038437986376310955
0.202,0.081,0.03680051847264224
0.204,0.08,0.03498933750385574
0.206,0.078,0.0331723675572652
0.208,0.075,0.03149270797284221
0.21,0.075,0.030022543014377262
0.212,0.071,0.028725798643045163
0.214,0.07,0.02743891309715249
0.216,0.068,0.025876867789913886
0.218,0.065,0.023667826137833702
0.22,0.065,0.020414173861732537
0.222,0.06,0.015770800273855974
0.224,0.061,0.009524470594059916
0.226,0.054,0.001653651921807833
0.228,0.036,-0.00765050064031291
0.23,0.025,-0.0180119460443662
0.232,0.013,-0.028941131470098823
0.234,0.001,-0.039930625807802315
0.236,-0.009,-0.05054933375079616
0.238,-0.017,-0.060512477619840674
0.24,-0.025,-0.0697135216154601
0.242,-0.033,-0.0782150327982215
0.244,-0.041,-0.08620464216105889
