Tempo_s,ECG_Bruto,ECG_Filtrado
0.0,-0.07,-0.006246937889322884
0.002,-0.07,-0.007195541860860753
0.004,-0.07,-0.007903638372548647
0.006,-0.07,-0.008020010658700198
0.008,-0.07,-0.007342794667645337
0.01,-0.07,-0.005924596697869405
0.012,-0.07,-0.004129234439775113
0.014,-0.067,-0.002607234343535264
0.016,-0.065,-0.002175015394737578
0.018,-0.064,-0.0036114914317036916
0.02,-0.06,-0.007417519035341281
0.022,-0.061,-0.013607322046736262
0.024,-0.053,-0.021606238863800788
0.026,-0.084,-0.03030826162055278
0.028,-0.124,-0.03829897606644623
0.03,-0.11,-0.04418776471828516
0.032,-0.105,-0.046946386403191855
0.034,-0.102,-0.046146439949006184
0.036,-0.098,-0.0420262414997355
0.038,-0.094,-0.0353722896387683
0.04,-0.09,-0.027245393298764842
0.042,-0.088,-0.018608123694617416
0.044,-0.069,-0.00992387692701193
0.046,-0.043,-0.0008070115832469367
0.048,-0.019,0.010187994469738232
0.05,0.01,0.025548675437545236
0.052,0.042,0.04848749898222623
0.054,0.04,0.0823082324657508
0.056,0.053,0.12952607403545688
0.058,0.103,0.19091386536820473
0.06,0.16,0.26472346085936194
0.062,0.236,0.34634225711627714
0.064,0.344,0.42857235581616693
0.066,0.447,0.50257652963449
0.068,0.532,0.5593554912561042
0.07,0.62,0.5914517580699883
0.072,0.671,0.5944680081957886
0.074,0.59,0.5679886282808604
0.076,0.456,0.5156292182269072
0.078,0.333,0.4441907047454916
0.08,0.22,0.36217578170682546
0.082,0.173,0.27811262779057405
0.084,0.133,0.19914211042514998
0.086,0.091,0.13017197345513976
0.088,0.064,0.07367369575607807
0.09,0.035,0.02999813953344929
0.092,-0.015,-0.0020202650656364405
0.094,-0.075,-0.02440224065108255
0.096,-0.102,-0.03946210059156299
0.098,-0.099,-0.04940517234388958
0.1,-0.1,-0.056074437287620044
0.102,-0.101,-0.060816695601557086
0.104,-0.098,-0.06444978446159079
0.106,-0.108,-0.06732261288669313
0.108,-0.121,-0.06945191675798952
0.11,-0.115,-0.07069924281444379
0.112,-0.111,-0.07093650029719142
0.114,-0.107,-0.070153123094304
0.116,-0.105,-0.06848277288489635
0.118,-0.104,-0.06615941040360772
0.12,-0.1,-0.06343641331331182
0.122,-0.096,-0.06051067426487439
0.124,-0.095,-0.057486338429303716
0.126,-0.094,-0.054394014707812514
0.128,-0.089,-0.05125725422250123
0.13,-0.085,-0.04817714875847989
0.132,-0.085,-0.045395822755658705
0.134,-0.082,-0.04330392733815412
0.136,-0.08,-0.04237445113722003
0.138,-0.079,-0.043030423967849146
0.14,-0.075,-0.04548061073411487
0.142,-0.076,-0.04957684232911581
0.144,-0.066,-0.05475106116418037
